Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,B (PPI),B +/-,Own%
Koscielny,67,0,0,0,3,0,0,0,0,1,0,0,0,-3,-2,ARS,1 - 3,AVL,Home,1,DEF,8,Favourable,3,0,,7.8%
Cazorla,45,0,0,0,2,0,0,0,1,0,0,0,7,-1,0,ARS,1 - 3,AVL,Home,1,MID,8,Favourable,18,0,,11.0%
Walters,90,0,0,0,1,0,0,1,0,0,0,0,15,-3,0,STK,0 - 1,LIV,Away,1,MID,23,Very difficult,359,0,,3.8%
Martin,90,0,0,0,2,0,0,0,1,0,0,0,11,1,0,NOR,2 - 2,EVE,Home,1,DEF,15,Difficult,300,0,,0.5%
Turner,90,0,0,0,2,0,0,0,1,0,0,0,7,1,0,NOR,2 - 2,EVE,Home,1,DEF,15,Difficult,305,0,,2.6%
Williams,90,0,0,0,4,0,0,0,0,0,0,0,4,5,0,SWA,1 - 4,MUN,Home,1,DEF,27,Very difficult,397,0,,13.6%
Rangel,90,0,0,0,4,0,0,0,0,0,0,0,12,4,0,SWA,1 - 4,MUN,Home,1,DEF,27,Very difficult,401,0,,2.7%
Chico,90,0,0,0,4,0,0,0,0,0,0,0,4,5,0,SWA,1 - 4,MUN,Home,1,DEF,29,Very difficult,402,0,,1.1%
Davies,90,0,0,0,4,0,0,0,0,0,0,0,23,5,0,SWA,1 - 4,MUN,Home,1,DEF,29,Very difficult,404,0,,1.5%
Connolly,90,0,0,0,2,0,0,0,1,0,0,0,23,1,0,CAR,0 - 2,WHU,Away,1,DEF,16,Difficult,61,1,-1,0.2%
Meyler,59,0,0,0,2,0,0,0,1,0,0,0,1,2,0,HUL,0 - 2,CHE,Away,1,MID,28,Very difficult,184,0,,0.3%
Sagna,94,0,0,0,3,0,0,0,0,0,0,0,4,3,1,ARS,1 - 3,AVL,Home,1,DEF,8,Favourable,5,0,,1.1%
Gibbs,29,0,0,0,1,0,0,0,0,0,0,0,1,1,1,ARS,1 - 3,AVL,Home,1,DEF,8,Favourable,6,0,,3.2%
Jenkinson,61,0,0,0,2,0,0,0,0,0,0,0,2,2,1,ARS,1 - 3,AVL,Home,1,DEF,8,Favourable,7,0,,1.6%
Mertesacker,90,0,0,0,3,0,0,0,0,0,0,0,3,6,1,ARS,1 - 3,AVL,Home,1,DEF,8,Favourable,8,0,,24.6%
Wilshere,90,0,0,0,3,0,0,0,1,0,0,0,11,4,1,ARS,1 - 3,AVL,Home,1,MID,8,Favourable,11,0,,12.8%
Podolski,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ARS,1 - 3,AVL,Home,1,FWD,8,Favourable,21,0,,3.8%
Baker,17,0,0,0,1,0,0,0,0,0,0,0,3,1,1,AVL,3 - 1,ARS,Away,1,DEF,28,Very difficult,27,0,,17.4%
Vlaar,90,0,0,0,1,0,0,0,1,0,0,0,15,1,1,AVL,3 - 1,ARS,Away,1,DEF,28,Very difficult,31,0,,2.5%
Westwood,90,0,0,0,1,0,0,0,1,0,0,0,30,1,1,AVL,3 - 1,ARS,Away,1,MID,28,Very difficult,44,1,-1,1.5%
Bacuna,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,AVL,3 - 1,ARS,Away,1,MID,28,Very difficult,46,0,,0.1%
Sterling,18,0,0,0,0,0,0,0,0,0,0,0,4,1,1,LIV,1 - 0,STK,Home,1,MID,4,Very favourable,206,0,,3.6%
Adam,27,0,0,0,0,0,0,0,0,0,0,0,8,1,1,STK,0 - 1,LIV,Away,1,MID,25,Very difficult,354,0,,0.4%
N'Zonzi,90,0,0,0,1,0,0,0,1,0,0,0,4,3,1,STK,0 - 1,LIV,Away,1,MID,25,Very difficult,362,0,,0.6%
Pennant,27,0,0,0,0,0,0,0,0,0,0,0,1,1,1,STK,0 - 1,LIV,Away,1,MID,25,Very difficult,519,0,,0.9%
Jones,9,0,0,0,0,0,0,0,0,0,0,0,7,0,1,STK,0 - 1,LIV,Away,1,FWD,25,Very difficult,364,0,,0.7%
Garrido,90,0,0,0,2,0,0,0,0,0,0,0,7,2,1,NOR,2 - 2,EVE,Home,1,DEF,15,Difficult,306,0,,15.7%
Olsson,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NOR,2 - 2,EVE,Home,1,DEF,15,Difficult,308,0,,1.0%
Tettey,17,0,0,0,0,0,0,0,0,0,0,0,2,1,1,NOR,2 - 2,EVE,Home,1,MID,15,Difficult,317,0,,0.5%
