,Week,Mins,Goals,Assists,Clean_Sheets,Goals_Conceded,Yellow_Cards,Red_Cards,Saves,Bonus,PPI,BPS,Net_Transfers,Value,Points,serialID,ID,Name,Team,Position,Availabilty,Selection,EA_INDEX,Price
0,745,1498,0,0,3,21,1,0,44,0,172,215,-240735,201.8,47,1,1,Wojciech Szczesny,ARS,GK,100,4.7,172,5.2
1,745,2287,3,0,11,19,4,0,0,15,387,575,-6562,227.6,120,2,2,Laurent Koscielny,ARS,DEF,100,9.9,387,6.1
2,745,0,0,0,0,0,0,0,0,0,0,0,-6001,190,0,3,3,Thomas Vermaelen,ARS,DEF,0,0.1,0,5
3,745,1660,0,5,6,22,3,0,0,9,262,408,-71125,200.5,76,4,4,Kieran Gibbs,ARS,DEF,100,1.7,262,5.2
5,745,3150,0,1,12,34,2,0,0,12,413,732,44894,228.3,121,6,6,Per Mertesacker,ARS,DEF,100,5.2,413,6.1
6,745,2311,0,2,9,23,3,0,0,6,361,553,125090,185.2,92,7,7,Nacho Monreal,ARS,DEF,100,3.5,361,4.9
7,745,0,0,0,0,0,0,0,0,0,0,0,-891,165,0,8,8,Isaac Hayden,ARS,DEF,,0.1,0,4.3
8,745,1563,2,1,7,15,5,0,0,5,302,372,265738,171,77,9,9,Hector Bellerin,ARS,DEF,100,6.9,302,4.8
9,745,729,2,1,1,12,4,0,0,4,161,163,-97085,241.2,36,10,10,Jack Wilshere,ARS,MD,100,2.3,161,6.3
10,745,447,5,1,2,4,0,0,0,3,195,127,11393,334.5,51,11,11,Theo Walcott,ARS,MD,100,0.4,195,8.2
11,745,2007,6,6,10,18,6,0,0,13,403,471,-753679,332.5,116,12,12,Aaron Ramsey,ARS,MD,100,13.4,403,8.8
12,745,583,2,1,1,7,1,0,0,3,155,160,-17769,180,36,13,13,Tomas Rosicky,ARS,MD,100,0.5,155,4.6
13,745,447,0,1,3,3,1,0,0,2,75,92,-61436,201.5,19,14,14,Mikel Arteta,ARS,MD,0,0.7,75,5.2
14,745,1491,1,2,7,18,4,0,0,3,270,277,-26739,240.3,57,15,15,Alex Oxlade-Chamberlain,ARS,MD,100,1,270,6.2
15,745,2990,7,11,12,30,5,0,0,23,798,860,591853,316.6,168,16,16,Santiago Cazorla,ARS,MD,,14.8,798,8.4
16,745,0,0,0,0,0,0,0,0,0,0,0,-1562,180.4,0,17,17,Vassiriki Diaby,ARS,MD,100,0,0,4.7
17,745,0,0,0,0,0,0,0,0,0,0,0,-518,183.3,0,18,18,Serge Gnabry,ARS,MD,100,0,0,4.8
18,745,0,0,0,0,0,0,0,0,0,0,0,-452,180.5,0,19,19,Gedion Zelalem,ARS,MD,,0,0,4.7
19,745,1461,1,2,4,21,3,0,0,0,225,293,-4247,185.1,51,20,20,Mathieu Flamini,ARS,MD,100,0.2,225,4.8
20,745,1857,4,6,9,16,0,0,0,13,463,511,95912,340.6,103,21,21,Mesut …zil,ARS,MD,100,4.4,463,9
21,745,0,0,0,0,0,0,0,0,0,0,0,-1028,171,0,22,22,Ryo Miyaichi,ARS,MD,100,0,0,4.5
22,745,2944,16,8,12,31,4,0,0,29,888,705,854805,420.4,207,23,23,Alexis S‡nchez,ARS,MD,100,37.2,888,11.6
23,745,106,0,0,0,0,0,0,0,0,14,13,-11504,275.3,7,24,24,Lukas Podolski,ARS,FWD,100,0.4,14,7.2
24,745,1861,14,3,10,15,5,1,0,16,511,434,98493,316.3,120,25,25,Olivier Giroud,ARS,FWD,100,19,511,8.7
26,745,30,0,1,0,0,0,0,0,0,23,16,-99,183.8,6,27,27,Chuba Akpom,ARS,FWD,100,0,23,4.8
27,745,41,0,0,0,1,0,0,0,0,5,16,-23798,192.5,4,28,28,Joel Campbell,ARS,FWD,0,0.4,5,5
284,745,1709,4,7,6,19,3,0,0,10,380,328,53066,267.4,89,285,285,Danny Welbeck,ARS,FWD,0,4.5,380,6.9
294,745,805,1,1,0,12,2,0,0,0,147,130,-609824,199.3,23,295,295,Mathieu Debuchy,ARS,DEF,0,4,147,5.2
344,745,1572,1,1,7,20,7,1,0,8,234,369,-80871,179.7,68,345,345,Calum Chambers,ARS,DEF,100,6.5,234,4.5
542,745,1620,0,0,8,11,0,0,47,0,241,301,142804,184.9,76,543,543,David Ospina,ARS,GK,100,4,241,5
570,745,1661,0,0,8,14,5,0,0,1,262,335,15661,171,45,571,571,Francis Coquelin,ARS,MD,100,0.4,262,4.5
571,745,302,0,0,2,4,0,0,4,0,33,57,301,171,14,572,572,Damian Emiliano Martinez,ARS,GK,,0.1,33,4.5
620,717,0,0,0,0,0,0,0,0,0,0,0,898,124,0,621,621,Semi Ajayi,ARS,DEF,100,0,0,4
632,667,0,0,0,0,0,0,0,0,0,0,0,736,104,0,633,633,Ryan Huddart,ARS,GK,,0,0,4
634,667,0,0,0,0,0,0,0,0,0,0,0,861,104,0,635,635,Matthew Macey,ARS,GK,,0,0,4
639,640,1,0,0,0,0,0,0,0,0,0,3,92,105.9,1,640,640,Ainsley Maitland-Niles,ARS,MD,,0,0,4.4
664,492,350,0,1,1,4,0,0,0,0,73,90,1401,84.9,16,665,665,Gabriel Armando de Abreu,ARS,DEF,100,0,73,5.1
665,492,0,0,0,0,0,0,0,0,0,0,0,209,71.1,0,666,666,Krystian Bielik,ARS,MD,,0,0,4.4
28,739,270,0,0,1,8,1,0,9,0,37,38,2937,152,7,29,29,Shay Given,AVL,GK,,7.3,37,4
29,739,3060,0,0,9,48,2,0,101,3,288,500,221263,176.2,112,30,30,Bradley Guzan,AVL,GK,,11.6,288,4.6
30,739,764,0,0,3,13,0,0,0,3,53,141,-4465,165.4,29,31,31,Nathan Baker,AVL,DEF,100,0.1,53,4.3
31,739,1992,1,2,4,34,8,1,0,5,236,378,32659,163.9,60,32,32,Ciaran Clark,AVL,DEF,0,0.6,236,4.2
32,739,756,0,1,2,13,2,0,0,0,89,132,-398,161.4,26,33,33,Matthew Lowton,AVL,DEF,100,0.1,89,4
33,739,1647,0,1,6,27,3,1,0,7,137,284,-393223,167.5,56,34,34,Ron Vlaar,AVL,DEF,100,9.3,137,4.3
34,739,0,0,0,0,0,0,0,0,0,0,0,-1114,171,0,35,35,Joe Bennett,AVL,DEF,,0,0,4.5
35,739,2010,1,0,4,35,6,0,0,8,227,399,7756,163.6,58,36,36,Jores Okore,AVL,DEF,100,0.4,227,4.2
36,739,0,0,0,0,0,0,0,0,0,0,0,-345,171,0,37,37,Antonio Luna,AVL,DEF,0,0,0,4.5
37,739,0,0,0,0,0,0,0,0,0,0,0,-1208,149.1,0,38,38,Janoi Donacien,AVL,DEF,100,0.2,0,3.9
38,739,633,0,0,3,9,2,0,0,0,74,116,608,166.9,22,39,39,Philippe Senderos,AVL,DEF,100,0.9,74,4.3
39,739,2433,0,4,6,46,1,1,0,1,336,441,5920,184.7,69,40,40,Fabian Delph,AVL,MD,100,1.3,336,4.8
40,739,1422,0,3,10,13,3,0,0,0,173,117,2034,201.6,58,41,41,Charles N'Zogbia,AVL,MD,100,0.2,173,5.2
41,739,0,0,0,0,0,0,0,0,0,0,0,-6112,164.8,0,42,42,Gary Gardner,AVL,MD,0,0.1,0,4.3
42,739,0,0,0,0,0,0,0,0,0,0,0,-294855,167.4,0,43,43,Karim El Ahmadi,AVL,MD,0,2,0,4.4
43,739,2149,0,1,6,36,4,0,0,0,261,363,-11394,181.9,55,44,44,Ashley Westwood,AVL,MD,100,0.3,261,4.7
44,739,983,0,5,4,16,1,0,0,1,146,196,-2713,193,48,45,45,Leandro Bacuna,AVL,MD,100,0.1,146,5
45,739,0,0,0,0,0,0,0,0,0,0,0,-701,171,0,46,46,Aleksandar Tonev,AVL,MD,0,0,0,4.5
46,739,0,0,0,0,0,0,0,0,0,0,0,-106,171,0,47,47,Samir Carruthers,AVL,MD,,0,0,4.5
47,739,0,0,0,0,0,0,0,0,0,0,0,-471,167.8,0,48,48,Daniel Johnson,AVL,MD,100,0,0,4.4
48,739,822,0,1,2,18,0,0,0,2,140,147,13191,165.9,31,49,49,Jack Grealish,AVL,MD,100,0.6,140,4.3
49,739,284,1,1,1,6,0,0,0,2,42,82,-1258,202.7,25,50,50,Joe Cole,AVL,MD,100,0.1,42,5.3
50,739,1344,0,1,6,26,2,1,0,0,168,152,-4853,187.6,40,51,51,Kieran Richardson,AVL,MD,100,0.2,168,4.9
51,739,2693,6,1,8,42,7,1,0,12,327,247,24746,199.1,93,52,52,Gabriel Agbonlahor,AVL,FWD,100,1.6,327,5
