Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS
Aaron Cresswell,WHU,DEF,133,2,4,3314,0,1,0,0,0,12,11
Aaron Lennon,EVE,MID,80,5,1,1538,0,1,0,0,0,7,5
Aaron Ramsey,ARS,MID,119,5,5,2623,0,4,0,0,0,9,14
Aarons,NEW,MID,20,1,1,381,0,1,0,0,0,0,1
Abdul Rahman Baba,CHE,DEF,35,0,1,1018,0,1,0,0,0,1,2
Adam Federici,BOU,GK,8,0,0,495,0,0,13,0,0,0,0
Adam Johnson,SUN,MID,58,2,6,1148,0,3,0,0,0,2,1
Adam Lallana,LIV,MID,109,4,6,2109,0,2,0,0,0,10,10
Adam Matthews,SUN,DEF,1,0,0,37,0,0,0,0,0,0,0
Adam Smith,BOU,DEF,84,2,0,2100,0,5,0,0,0,11,6
Adama Traoré,AVL,MID,15,0,2,193,0,1,0,0,0,0,0
Adebayor,CRY,FWD,24,1,1,619,0,1,0,0,0,1,0
Adlène Guédioura,WAT,MID,25,0,2,430,0,2,0,0,0,0,1
Adnan Januzaj,MUN,MID,11,1,0,145,0,1,0,0,0,0,1
Adrian Mariappa,CRY,DEF,3,0,0,255,0,0,0,0,0,0,0
Adrián San Miguel del Castillo,WHU,GK,125,0,0,2880,1,1,101,2,0,9,9
Agbonlahor,AVL,FWD,37,1,2,1031,0,0,0,0,0,1,2
Alberto Moreno,LIV,DEF,104,1,4,2547,0,3,0,0,0,12,7
Aleksandar Kolarov,MCI,DEF,118,3,4,2283,0,3,0,0,1,12,10
Aleksandar Mitrovic,NEW,FWD,103,9,4,2117,2,4,0,0,0,10,4
Alex Iwobi,ARS,MID,42,2,2,628,0,0,0,0,0,2,5
Alex McCarthy,CRY,GK,20,0,0,630,0,0,32,0,0,0,0
Alex Oxlade-Chamberlain,ARS,MID,44,1,1,928,0,0,0,0,0,0,5
Alex Pritchard,WBA,MID,3,0,0,69,0,0,0,0,0,0,0
Alexis Sánchez,ARS,MID,167,13,5,2436,0,1,0,0,0,17,14
Allan-Roméo Nyom,WAT,DEF,89,0,1,2469,0,8,0,0,0,9,9
Almen Abdi,WAT,MID,71,2,0,1975,0,4,0,0,0,3,7
Amavi,AVL,DEF,32,0,2,837,0,2,0,0,0,5,2
Ander Herrera,MUN,MID,73,3,2,1534,0,4,0,0,0,5,8
Andreas Pereira,MUN,MID,3,0,0,84,0,2,0,0,0,0,0
Andrew Surman,BOU,MID,90,0,3,3420,0,4,0,0,0,2,7
Andros Townsend,NEW,MID,64,4,2,1154,0,0,0,0,0,6,4
André Ayew,SWA,MID,171,12,5,2927,0,5,0,0,0,25,8
Andy Carroll,WHU,FWD,90,9,2,1440,0,2,0,0,0,11,4
Andy King,LEI,MID,54,2,2,1062,0,2,0,0,0,6,0
Angel Rangel,SWA,DEF,56,0,1,1821,0,6,0,0,0,2,6
Angelo Ogbonna,WHU,DEF,76,0,0,2326,0,5,0,0,0,5,9
Anita,NEW,MID,67,1,3,2103,0,6,0,0,0,2,7
Anthony Martial,MUN,MID,141,11,6,2632,0,2,0,0,0,21,14
Antonio Valencia,MUN,DEF,59,0,3,857,0,1,0,0,0,10,5
Arouna Koné,EVE,FWD,76,5,4,1457,0,1,0,0,0,6,4
Artur Boruc,BOU,GK,108,0,0,2880,0,2,77,2,0,9,7
Ashley Fletcher,SUN,FWD,48,4,1,1010,0,0,0,0,0,2,2
Ashley Westwood,AVL,MID,83,2,2,2717,0,6,0,0,0,6,5
Ashley Williams,SWA,DEF,123,2,1,3240,0,8,0,0,0,24,9
Ashley Young,MUN,MID,40,1,3,1065,0,5,0,0,0,0,3
Asmir Begovic,CHE,GK,55,0,0,1399,0,0,55,0,0,1,4
Ayoze,NEW,FWD,93,6,3,2050,0,4,0,0,0,10,5
Bacary Sagna,MCI,DEF,116,0,3,2448,0,4,0,0,0,17,12
Bacuna,AVL,DEF,61,1,0,2417,0,8,0,0,0,3,5
Bafétimbi Gomis,SWA,FWD,76,6,0,1703,0,0,0,0,0,2,5
Bakary Sako,CRY,MID,55,2,2,1069,0,1,0,0,0,6,3
Bamidele Alli,TOT,MID,166,10,12,2471,0,7,0,0,0,17,10
Bartley,SWA,DEF,4,0,0,286,0,2,0,0,0,0,0
Bassong,NOR,DEF,64,1,0,2790,0,4,0,0,0,2,4
Bastian Schweinsteiger,MUN,MID,43,1,1,1202,0,3,0,0,0,2,6
Ben Davies,TOT,DEF,52,0,2,1291,0,3,0,0,0,2,5
Ben Foster,WBA,GK,56,0,0,1350,0,1,45,0,0,5,4
Ben Watson,WAT,MID,89,1,4,2816,0,4,0,0,0,2,8
Benik Afobe,BOU,FWD,46,4,0,930,0,0,0,0,0,5,4
Bertrand Traore,CHE,MID,28,2,1,375,0,0,0,0,0,1,2
Billy Jones,SUN,DEF,45,1,1,2032,0,8,0,0,0,6,2
Boaz Myhill,WBA,GK,83,0,0,2070,0,2,66,0,0,9,7
Bogdan,LIV,GK,3,0,0,180,0,0,2,0,0,0,0
Bojan Krkic,STK,MID,94,7,2,1697,0,2,0,0,0,17,9
Bradley Guzan,AVL,GK,62,0,0,2520,0,2,89,0,0,0,2
Bradley Johnson,NOR,MID,5,0,0,154,0,0,0,0,0,0,0
Bradley Smith,LIV,DEF,2,0,0,285,1,1,0,0,0,0,0
Branislav Ivanovic,CHE,DEF,111,2,3,2916,0,5,0,0,0,13,8
Brendan Galloway,EVE,DEF,39,0,1,1221,0,2,0,0,0,0,4
Brown,SUN,DEF,5,0,0,540,0,1,0,0,0,0,0
Bryan Oviedo,EVE,MID,32,0,1,996,0,0,0,0,0,1,3
Bunn,AVL,GK,39,0,0,900,0,2,27,1,0,3,4
Callum McManaman,WBA,MID,19,0,2,281,0,2,0,0,0,0,1
Callum Wilson,BOU,FWD,46,5,0,771,0,0,0,0,0,5,1
Calum Chambers,ARS,DEF,23,0,1,322,0,2,0,0,0,1,2
Cameron Borthwick-Jackson,MUN,DEF,32,0,1,695,0,0,0,0,0,2,3
Cameron Brannagan,LIV,MID,4,0,0,114,0,0,0,0,0,0,0
Carl Jenkinson,WHU,DEF,28,2,0,1228,1,3,0,0,0,0,0
Carles Gil,AVL,MID,53,2,1,1436,0,3,0,0,0,0,5
Carlos Sánchez,AVL,MID,34,0,0,1368,0,3,0,0,0,0,3
Caulker,LIV,DEF,12,0,0,151,0,0,0,0,0,1,1
Celina,MCI,MID,4,0,1,14,0,0,0,0,0,0,0
Cesc Fàbregas,CHE,MID,133,5,7,2896,0,5,0,0,0,16,8
Chamakh,AVL,FWD,9,0,0,257,0,1,0,0,0,0,0
Chancel Mbemba,NEW,DEF,79,0,1,2923,0,5,0,0,0,6,7
Charlie Adam,STK,MID,42,1,1,1043,1,6,0,0,0,2,8
Charlie Austin,SOU,FWD,15,1,0,211,0,0,0,0,0,3,0
Charlie Daniels,BOU,DEF,130,3,5,3285,0,2,0,0,0,20,7
Cheikhou Kouyaté,WHU,MID,110,5,3,3007,1,5,0,0,0,5,11
Chris Brunt,WBA,DEF,53,0,4,1800,0,7,0,0,0,1,6
Chris Smalling,MUN,DEF,135,0,1,3150,0,8,0,0,0,13,17
Christian Benteke,LIV,FWD,104,9,4,1529,0,2,0,0,0,16,7
Christian Eriksen,TOT,MID,178,6,16,2936,0,2,0,0,0,23,11
Christian Fuchs,LEI,DEF,150,0,4,2711,0,4,0,0,0,25,15
Chung-yong Lee,CRY,MID,22,1,0,390,0,0,0,0,0,2,0
Ciaran Clark,AVL,DEF,36,1,0,1442,0,6,0,0,0,2,3
Cissokho,AVL,DEF,28,0,0,1602,1,3,0,0,0,4,3
Cissé,NEW,FWD,46,3,0,1067,0,1,0,0,0,5,3
Clarke-Salter,CHE,DEF,1,0,0,17,0,0,0,0,0,0,0
Claudio Yacob,WBA,MID,69,0,1,2846,0,9,0,0,0,0,10
Clinton N'Jie,TOT,FWD,12,0,1,192,0,0,0,0,0,0,1
