Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS,£
Aaron Cresswell,WHU,DEF,60,0,2,2115,1,2,0,0,0,1,5,£5.1
Aaron Lennon,EVE,MID,22,0,1,509,0,0,0,0,0,0,2,£5.5
Aaron Ramsdale,BOU,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Aaron Ramsey,ARS,MID,56,1,4,1236,0,3,0,0,0,3,4,£7.6
Aaron Wan-Bissaka,CRY,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Abdoulaye Doucouré,WAT,MID,38,1,0,1352,0,4,0,0,0,0,4,£4.6
Abdul Rahman Baba,CHE,DEF,0,0,0,0,0,0,0,0,0,0,0,£5.5
Abel Hernández,HUL,FWD,72,4,4,1425,0,0,0,0,0,6,4,£5.9
Adam Clayton,MID,MID,70,0,2,2804,0,10,0,0,0,0,10,£4.3
Adam Federici,BOU,GK,8,0,0,180,0,1,5,0,0,1,1,£4.4
Adam Forshaw,MID,MID,77,0,2,2695,0,4,0,0,0,3,9,£4.5
Adam Lallana,LIV,MID,139,8,7,2338,0,3,0,0,0,14,9,£6.7
Adam Matthews,SUN,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Adam Reach,MID,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
Adam Smith,BOU,DEF,104,1,5,3101,0,6,0,0,0,12,8,£4.6
Adama Diomande,HUL,FWD,42,2,0,1171,0,1,0,0,0,2,2,£4.3
Adama Traoré,MID,MID,52,0,1,1543,0,1,0,0,0,2,6,£4.8
Ademola Lookman,EVE,MID,16,1,0,289,0,0,0,0,0,0,1,£5
Adlène Guédioura,MID,MID,26,0,1,861,0,2,0,0,0,0,0,£4.2
Adnan Januzaj,SUN,MID,49,0,3,1628,1,3,0,0,0,0,3,£5.3
Adrian Mariappa,WAT,DEF,15,0,0,562,0,0,0,0,0,3,1,£4
Adrián San Miguel del Castillo,WHU,GK,64,0,0,1440,0,1,53,0,0,6,6,£4.6
Ahmed Elmohamady,HUL,MID,62,0,2,2523,1,3,0,0,0,1,3,£4.6
Ahmed Musa,LEI,FWD,39,2,0,761,0,1,0,0,0,5,1,£6.9
Aiden O'Neill,BUR,MID,3,0,0,85,0,0,0,0,0,0,0,£4.3
Ainsley Maitland-Niles,ARS,MID,1,0,0,2,0,0,0,0,0,0,0,£4.5
Albert Adomah,MID,MID,3,0,0,122,0,0,0,0,0,0,0,£5.4
Alberto Moreno,LIV,DEF,15,0,1,305,0,1,0,0,0,1,0,£4.4
Aleix García Serrano,MCI,MID,4,0,0,77,0,0,0,0,0,0,0,£5
Aleksandar Kolarov,MCI,DEF,95,1,1,2535,0,6,0,0,0,7,9,£5.8
Alex Baptiste,MID,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Alex Bruce,HUL,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Alex Iwobi,ARS,MID,89,3,5,1456,0,1,0,0,0,8,9,£5.3
Alex McCarthy,SOU,GK,0,0,0,0,0,0,0,0,0,0,0,£4.3
Alex Oxlade-Chamberlain,ARS,MID,83,2,7,1564,0,1,0,0,0,3,4,£5.8
Alex Palmer,WBA,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Alex Pike,WHU,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Alex Pritchard,TOT,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Alexander Manninger,LIV,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Alexis Sánchez,ARS,MID,264,24,11,3217,0,6,0,0,1,32,13,£11.7
Alfie Mawson,SWA,DEF,94,4,0,2430,0,1,0,0,0,9,7,£4.6
Alfred N'Diaye,HUL,MID,34,1,0,1273,0,7,0,0,0,2,4,£4.1
Allan McGregor,HUL,GK,0,0,0,0,0,0,0,0,0,0,0,£4.4
Allan-Roméo Nyom,WBA,DEF,74,0,2,2638,0,8,0,0,0,6,5,£4.4
Almen Abdi,WAT,MID,0,0,0,0,0,0,0,0,0,0,0,£5
Ander Herrera,MUN,MID,97,1,6,2465,1,5,0,0,0,11,13,£6.2
Andre Gray,BUR,FWD,108,9,3,2260,0,2,0,0,0,10,8,£6
Andrea Ranocchia,HUL,DEF,55,2,2,1330,0,2,0,0,0,9,3,£4.5
Andreas Pereira,MUN,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
Andrew Eleftheriou,WAT,DEF,0,0,0,52,0,0,0,0,0,0,0,£4
Andrew Robertson,HUL,DEF,73,1,2,2736,0,5,0,0,0,4,5,£4.4
Andrew Surman,BOU,MID,44,0,1,1800,1,1,0,0,0,0,4,£4.6
Andros Townsend,CRY,MID,116,3,7,2520,0,4,0,0,0,16,7,£5.7
André Ayew,WHU,MID,89,6,3,1439,0,1,0,0,0,5,6,£7.1
