FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4400000,0,0,0,0,0,0,9724,0,0,0,0,0,0,0,0,83,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,4215,0,0,0,0,0,39,0,0,0,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,SWA,5800000,5,46,4.6,7.93103448275862E-07,7.93103448275862E-06,0,258815,0,10,0,0,0,4,0,7.9,3949,3,0,46,-3,0.9,0,5.5,8,0,4,0,1,14,826805,0,0,0,1,805,38031,0,0,150,Brighton,Burnley,Bournemouth,Chelsea,Stoke,5.6,5.7,5.9,5.3,6.2,5.8,4.2,6,6.4,4.4,6.7,3.8,5,6,5.9,5,5,5.4,5.7,4.9,4.3,3.8,5.3,6.3,4.8,3.7,6.1,6,51.4
Charlie,Adam,MID,STK,4800000,1,1,0.0333333333333333,6.94444444444444E-09,2.08333333333333E-07,0,4920,0,0,0,0,0,0,0,0.2,40,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.1,1652,0,0,0,0,2,30,0,0,0,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
,Adam Smith,DEF,BOU,4800000,1,16,1.6,3.33333333333333E-07,3.33333333333333E-06,0,29627,3,13,0,0,0,0,0,3.3,140,-2,0,16,2,0.5,0,2.5,0,0,1,0,0,0.5,2636,0,0,0,0,804,64,0,0,128,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0.9,1.5,0.9,1.2,1,1.9,0.8,1.5,0.8,1.5,1,1,1.5,0.9,1.1,1.2,1,1.3,0.8,1,1.5,1.5,2.4,0.8,1.1,1.1,0.8,1.1,27.4
,Adrian,GLK,WHU,4400000,0,0,0,0,0,0,11547,0,0,0,0,0,0,0,0,75,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,1468,0,0,0,0,0,19,0,0,0,Liverpool,Watford,Leicester,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahim,Afellay,MID,STK,4900000,0,2,0.0666666666666667,1.36054421768707E-08,4.08163265306122E-07,0,933,1,6,0,0,0,0,0,0.4,26,-1,0,2,1,0.1,0,0.3,0,0,0,0,0,0,671,0,0,0,0,62,14,0,0,4,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Benik,Afobe,FWD,BOU,5700000,2,14,0.466666666666667,8.18713450292398E-08,2.45614035087719E-06,0,26272,0,5,0,0,0,0,0,2.5,188,-3,0,14,3,0.4,0,2,0,0,0,0,1,0.2,3757,0,0,0,0,340,46,0,0,44,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,16
Sergio,Aguero,FWD,MCI,11800000,0,59,8.4,7.11864406779661E-07,5E-06,0,1436618,0,1,0,0,0,7,0,5,20183,3,0,59,-3,0.2,0,1.8,9,0,5,0,3,23.2,1994953,0,0,0,1,541,20914,0,0,249,Arsenal,Leicester,Huddersfield,Southampton,West Ham,12.6,10.4,10.4,10.7,12.4,9,11.7,10.1,11.6,10.4,10.4,10,9.8,12.2,12.1,11.3,12.1,8.8,9.8,10.9,11.9,10.5,11.7,10.8,10.7,10.2,12.2,11.8,89.9
Nathan,Ake,DEF,BOU,4900000,2,23,2.3,4.69387755102041E-07,4.69387755102041E-06,0,234625,1,14,0,0,0,0,0,4.7,1093,-1,0,23,1,0.8,0,3.8,4,0,1,0,0,3.7,36194,0,0,0,0,892,1043,0,0,167,Newcastle,Huddersfield,Swansea,Burnley,Southampton,1.6,2.6,1.6,2.2,1.9,2.7,1.2,2.5,1.3,2.6,1.9,1.9,2.6,1.7,2,2.1,1.8,2.4,1.2,1.9,2.6,2.6,3.4,1.3,1.9,2,1.6,2,27.1
Marc,Albrighton,MID,LEI,5500000,1,20,2,3.63636363636364E-07,3.63636363636364E-06,0,124136,2,11,0,0,0,0,0,3.6,1222,0,0,20,0,0.3,0,1.8,0,0,2,0,1,1.7,114573,0,0,0,0,685,140,0,0,93,Stoke,Man City,West Ham,Tottenham,Burnley,1,1,1.1,1.2,1.7,1.1,1.2,2,1.5,1.3,1,1.9,1.3,1.1,1.6,1.8,1,1.6,2,1,2.2,1,2,1.3,1.4,1.1,2.1,1,32.1
